Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,ITEM0833,Beverages,2000,OUT010,Tier 2,Small,Supermarket Type2,0.052747702,0.9,783,3
Regular,ITEM0839,Dairy Products,2018,OUT002,Tier 2,Small,Supermarket Type2,0.005173723,2.7,2025,5
Low Fat,ITEM0857,Bakery Products,2016,OUT005,Tier 2,Small,Supermarket Type2,0.079487904,4.6,1963,1
Low Fat,ITEM0875,Snacks,2017,OUT010,Tier 2,Small,Supermarket Type2,0.036110403,3.4,2103,2
Low Fat,ITEM0899,Beverages,2014,OUT006,Tier 2,Small,Supermarket Type2,0.024708528,3.9,2574,2
Regular,ITEM0904,Bakery Products,2006,OUT004,Tier 2,Small,Supermarket Type2,0.055399189,3.1,2938,5
Low Fat,ITEM0936,Fruits and Vegetables,2017,OUT006,Tier 2,Small,Supermarket Type2,0.048939145,0.3,1874,3
Regular,ITEM0974,Snacks,2001,OUT001,Tier 2,Small,Supermarket Type2,0.095093305,2.7,430,1
Regular,ITEM0975,Dairy Products,2011,OUT001,Tier 2,Small,Supermarket Type2,0.010321408,2.7,1334,2
Regular,ITEM1040,Beverages,2009,OUT001,Tier 2,Small,Supermarket Type2,0.020856766,2,950,4
Low Fat,ITEM1068,Snacks,2014,OUT002,Tier 2,Small,Supermarket Type2,0.009538774,1.7,387,2
Regular,ITEM1076,Dairy Products,2006,OUT004,Tier 2,Small,Supermarket Type2,0.008062748,1.7,919,3
Regular,ITEM1098,Dairy Products,2001,OUT010,Tier 2,Small,Supermarket Type2,0.07731964,0.2,2337,1
Low Fat,ITEM1125,Bakery Products,2005,OUT008,Tier 2,Small,Supermarket Type2,0.00838418,3.2,2530,0
Regular,ITEM1153,Beverages,2006,OUT004,Tier 2,Small,Supermarket Type2,0.035669401,4.7,2339,3
Regular,ITEM1212,Bakery Products,2006,OUT004,Tier 2,Small,Supermarket Type2,0.028408737,2.7,2730,5
Low Fat,ITEM1254,Snacks,2002,OUT008,Tier 2,Small,Supermarket Type2,0.092860454,1.9,1407,3
Regular,ITEM1306,Beverages,2000,OUT010,Tier 2,Small,Supermarket Type2,0.007987632,4.7,62,4
Regular,ITEM1441,Dairy Products,2014,OUT004,Tier 2,Small,Supermarket Type2,0.071697683,2.4,850,0
Regular,ITEM1448,Bakery Products,2006,OUT007,Tier 2,Small,Supermarket Type2,0.060023536,3.9,2299,2
Regular,ITEM1472,Dairy Products,2003,OUT007,Tier 2,Small,Supermarket Type2,0.090304863,0.3,570,2
Low Fat,ITEM1474,Beverages,2016,OUT001,Tier 2,Small,Supermarket Type2,0.078985309,3.9,9,3
Regular,ITEM1480,Dairy Products,2013,OUT006,Tier 2,Small,Supermarket Type2,0.050859436,1.2,2093,1
Low Fat,ITEM1484,Snacks,2005,OUT006,Tier 2,Small,Supermarket Type2,0.087360322,0,2646,4
Regular,ITEM1492,Fruits and Vegetables,2019,OUT008,Tier 2,Small,Supermarket Type2,0.028024782,5,2161,2
Regular,ITEM1524,Beverages,2009,OUT010,Tier 2,Small,Supermarket Type2,0.03801861,1.6,47,2
Low Fat,ITEM1533,Bakery Products,2014,OUT002,Tier 2,Small,Supermarket Type2,0.032214449,0,2398,3
Low Fat,ITEM1553,Snacks,2005,OUT010,Tier 2,Small,Supermarket Type2,0.022978236,3.5,2640,4
Low Fat,ITEM1573,Fruits and Vegetables,2014,OUT001,Tier 2,Small,Supermarket Type2,0.00793185,1.4,2323,1
Low Fat,ITEM1606,Dairy Products,2003,OUT006,Tier 2,Small,Supermarket Type2,0.077107421,1.3,2934,3
Low Fat,ITEM1609,Dairy Products,2012,OUT007,Tier 2,Small,Supermarket Type2,0.04403064,3.4,2612,1
Regular,ITEM1628,Bakery Products,2015,OUT005,Tier 2,Small,Supermarket Type2,0.077540487,3.3,822,4
Regular,ITEM1675,Bakery Products,2012,OUT009,Tier 2,Small,Supermarket Type2,0.052134456,4.2,2377,2
Regular,ITEM1738,Dairy Products,2015,OUT007,Tier 2,Small,Supermarket Type2,0.065114368,1.2,389,1
Low Fat,ITEM1749,Bakery Products,2007,OUT006,Tier 2,Small,Supermarket Type2,0.029507662,4.5,2704,2
Low Fat,ITEM1757,Fruits and Vegetables,2016,OUT007,Tier 2,Small,Supermarket Type2,0.09382722,1.7,979,3
Regular,ITEM1768,Fruits and Vegetables,2009,OUT008,Tier 2,Small,Supermarket Type2,0.028384842,3,1909,4
Low Fat,ITEM1769,Dairy Products,2012,OUT005,Tier 2,Small,Supermarket Type2,0.068780052,1,800,4
Regular,ITEM1783,Dairy Products,2012,OUT002,Tier 2,Small,Supermarket Type2,0.021881322,4.1,35,1
Regular,ITEM1820,Fruits and Vegetables,2006,OUT009,Tier 2,Small,Supermarket Type2,0.091367609,2.7,35,2
Low Fat,ITEM1825,Snacks,2009,OUT004,Tier 2,Small,Supermarket Type2,0.049826176,4.3,72,4
Low Fat,ITEM1852,Beverages,2009,OUT008,Tier 2,Small,Supermarket Type2,0.069198998,2.4,1698,0
Regular,ITEM1853,Beverages,2004,OUT005,Tier 2,Small,Supermarket Type2,0.042874125,4,280,3
Regular,ITEM1884,Snacks,2016,OUT003,Tier 2,Small,Supermarket Type2,0.088891953,1.6,2427,2
Low Fat,ITEM1889,Fruits and Vegetables,2012,OUT006,Tier 2,Small,Supermarket Type2,0.028350089,3.4,2411,3
Low Fat,ITEM1932,Fruits and Vegetables,2002,OUT008,Tier 2,Small,Supermarket Type2,0.063479571,2.6,344,4
Low Fat,ITEM1947,Snacks,2008,OUT007,Tier 2,Small,Supermarket Type2,0.04939629,1,2311,3
Low Fat,ITEM1953,Fruits and Vegetables,2002,OUT008,Tier 2,Small,Supermarket Type2,0.055760834,4.9,1355,1
Regular,ITEM1991,Fruits and Vegetables,2013,OUT007,Tier 2,Small,Supermarket Type2,0.028747535,0.7,1288,5
Low Fat,ITEM2001,Fruits and Vegetables,2006,OUT001,Tier 2,Small,Supermarket Type2,0.087076908,0.1,352,4
Regular,ITEM2005,Dairy Products,2011,OUT004,Tier 2,Small,Supermarket Type2,0.095678991,3.6,2019,3
Low Fat,ITEM2024,Snacks,2005,OUT001,Tier 2,Small,Supermarket Type2,0.023601251,4.8,1926,1
Regular,ITEM2041,Snacks,2011,OUT005,Tier 2,Small,Supermarket Type2,0.01204384,2.9,746,1
Regular,ITEM2048,Beverages,2004,OUT009,Tier 2,Small,Supermarket Type2,0.029822936,3.6,2029,3
Low Fat,ITEM2070,Dairy Products,2002,OUT001,Tier 2,Small,Supermarket Type2,0.032792377,2.5,1187,1
Low Fat,ITEM2086,Snacks,2002,OUT005,Tier 2,Small,Supermarket Type2,0.08299679,1.2,56,1
Low Fat,ITEM2104,Bakery Products,2017,OUT002,Tier 2,Small,Supermarket Type2,0.05170222,4.5,1715,1
Regular,ITEM2125,Snacks,2006,OUT009,Tier 2,Small,Supermarket Type2,0.081676753,4.7,161,1
Regular,ITEM2138,Fruits and Vegetables,2014,OUT004,Tier 2,Small,Supermarket Type2,0.053491156,4.2,2428,2
Low Fat,ITEM2147,Fruits and Vegetables,2018,OUT007,Tier 2,Small,Supermarket Type2,0.073938809,4.1,309,4
Low Fat,ITEM2150,Fruits and Vegetables,2017,OUT002,Tier 2,Small,Supermarket Type2,0.081062652,4.5,1205,3
Regular,ITEM2193,Snacks,2005,OUT009,Tier 2,Small,Supermarket Type2,0.072682692,2.1,2563,3
Low Fat,ITEM2207,Fruits and Vegetables,2008,OUT001,Tier 2,Small,Supermarket Type2,0.099340181,3.1,1043,4
Regular,ITEM2211,Fruits and Vegetables,2019,OUT009,Tier 2,Small,Supermarket Type2,0.072563593,0.8,2555,4
Regular,ITEM2254,Dairy Products,2002,OUT002,Tier 2,Small,Supermarket Type2,0.050830126,0.2,258,2
Low Fat,ITEM2256,Snacks,2015,OUT010,Tier 2,Small,Supermarket Type2,0.073092018,0.8,966,2
Regular,ITEM2267,Bakery Products,2012,OUT009,Tier 2,Small,Supermarket Type2,0.01622353,2.3,2676,1
Regular,ITEM2276,Dairy Products,2005,OUT003,Tier 2,Small,Supermarket Type2,0.098174054,3.6,930,2
Regular,ITEM2277,Bakery Products,2003,OUT007,Tier 2,Small,Supermarket Type2,0.009085301,2.3,60,2
Low Fat,ITEM2282,Dairy Products,2000,OUT003,Tier 2,Small,Supermarket Type2,0.09557858,1.6,1266,1
Regular,ITEM2300,Beverages,2019,OUT004,Tier 2,Small,Supermarket Type2,0.056377986,3.7,2236,4
Regular,ITEM2342,Fruits and Vegetables,2006,OUT003,Tier 2,Small,Supermarket Type2,0.091863672,2.4,1991,3
Low Fat,ITEM2356,Beverages,2007,OUT003,Tier 2,Small,Supermarket Type2,0.031049643,1.3,2377,5
Low Fat,ITEM2376,Beverages,2017,OUT008,Tier 2,Small,Supermarket Type2,0.07290463,4.6,476,4
Low Fat,ITEM2472,Snacks,2008,OUT007,Tier 2,Small,Supermarket Type2,0.053364373,2.3,155,0
Low Fat,ITEM2491,Dairy Products,2009,OUT004,Tier 2,Small,Supermarket Type2,0.056373824,0,692,0
Low Fat,ITEM2500,Beverages,2010,OUT004,Tier 2,Small,Supermarket Type2,0.014184373,3.9,2904,2
Regular,ITEM2507,Fruits and Vegetables,2015,OUT002,Tier 2,Small,Supermarket Type2,0.056969187,3.5,891,2
Regular,ITEM2557,Bakery Products,2016,OUT005,Tier 2,Small,Supermarket Type2,0.064232175,2.1,525,1
Regular,ITEM2559,Snacks,2004,OUT006,Tier 2,Small,Supermarket Type2,0.007785371,2,106,5
Regular,ITEM2565,Snacks,2008,OUT001,Tier 2,Small,Supermarket Type2,0.082437113,0.6,1521,0
Low Fat,ITEM2566,Bakery Products,2005,OUT008,Tier 2,Small,Supermarket Type2,0.042885543,2,263,3
Low Fat,ITEM2571,Beverages,2016,OUT002,Tier 2,Small,Supermarket Type2,0.022435875,3,655,3
Regular,ITEM2574,Fruits and Vegetables,2013,OUT006,Tier 2,Small,Supermarket Type2,0.008568448,1.8,1737,3
Regular,ITEM2606,Fruits and Vegetables,2008,OUT007,Tier 2,Small,Supermarket Type2,0.068938759,2.3,1993,2
Regular,ITEM2639,Snacks,2020,OUT005,Tier 2,Small,Supermarket Type2,0.016958357,2.2,2522,4
Regular,ITEM2650,Beverages,2010,OUT001,Tier 2,Small,Supermarket Type2,0.094490316,4.9,1402,2
Low Fat,ITEM2708,Snacks,2008,OUT009,Tier 2,Small,Supermarket Type2,0.084039672,1,1352,2
Low Fat,ITEM2758,Fruits and Vegetables,2012,OUT006,Tier 2,Small,Supermarket Type2,0.053804865,2.7,2657,4
Regular,ITEM2759,Bakery Products,2006,OUT009,Tier 2,Small,Supermarket Type2,0.005934619,0.5,761,3
Regular,ITEM2809,Bakery Products,2011,OUT002,Tier 2,Small,Supermarket Type2,0.097699326,2.3,2070,3
Low Fat,ITEM2810,Beverages,2019,OUT002,Tier 2,Small,Supermarket Type2,0.050245103,1.6,1522,2
Low Fat,ITEM2833,Bakery Products,2006,OUT009,Tier 2,Small,Supermarket Type2,0.009924667,0.2,1388,4
Low Fat,ITEM2846,Fruits and Vegetables,2015,OUT006,Tier 2,Small,Supermarket Type2,0.001856952,4,2871,1
Regular,ITEM2857,Beverages,2005,OUT002,Tier 2,Small,Supermarket Type2,0.005945453,2.3,2704,2
Low Fat,ITEM2878,Dairy Products,2008,OUT007,Tier 2,Small,Supermarket Type2,0.085729083,0.8,1064,1
Low Fat,ITEM2893,Snacks,2010,OUT008,Tier 2,Small,Supermarket Type2,0.036388662,0.9,1985,3
Low Fat,ITEM2928,Snacks,2011,OUT010,Tier 2,Small,Supermarket Type2,0.017831223,0.4,690,4
Low Fat,ITEM0010,Dairy Products,2017,OUT004,Tier 2,Medium,Supermarket Type2,0.081340922,2.4,2488,2
Low Fat,ITEM0012,Fruits and Vegetables,2013,OUT001,Tier 2,Medium,Supermarket Type2,0.04076401,4.9,197,2
Regular,ITEM0026,Beverages,2004,OUT002,Tier 2,Medium,Supermarket Type2,0.049082414,3.5,46,1
Regular,ITEM0035,Dairy Products,2014,OUT004,Tier 2,Medium,Supermarket Type2,0.086102474,1.7,2290,3
Low Fat,ITEM0041,Dairy Products,2015,OUT007,Tier 2,Medium,Supermarket Type2,0.025868539,3.5,2984,2
Regular,ITEM0092,Snacks,2020,OUT003,Tier 2,Medium,Supermarket Type2,0.03672574,0.3,3000,4
Regular,ITEM0095,Dairy Products,2012,OUT001,Tier 2,Medium,Supermarket Type2,0.082726214,1.3,1299,1
Regular,ITEM0114,Beverages,2017,OUT001,Tier 2,Medium,Supermarket Type2,0.05709023,1.5,2861,1
Low Fat,ITEM0115,Dairy Products,2005,OUT009,Tier 2,Medium,Supermarket Type2,0.006726585,4.7,984,2
Low Fat,ITEM0160,Fruits and Vegetables,2019,OUT008,Tier 2,Medium,Supermarket Type2,0.022846315,0.5,2517,2
Regular,ITEM0167,Beverages,2004,OUT006,Tier 2,Medium,Supermarket Type2,0.085935937,4.7,258,2
Low Fat,ITEM0179,Bakery Products,2016,OUT008,Tier 2,Medium,Supermarket Type2,0.071764001,4.8,1320,4
Low Fat,ITEM0199,Dairy Products,2020,OUT004,Tier 2,Medium,Supermarket Type2,0.095526347,0.5,999,2
Low Fat,ITEM0204,Fruits and Vegetables,2005,OUT008,Tier 2,Medium,Supermarket Type2,0.094896468,1.6,933,4
Low Fat,ITEM0236,Dairy Products,2010,OUT001,Tier 2,Medium,Supermarket Type2,0.051461357,1,1431,2
Low Fat,ITEM0243,Bakery Products,2002,OUT002,Tier 2,Medium,Supermarket Type2,0.075150906,0.4,1176,4
Low Fat,ITEM0281,Beverages,2005,OUT009,Tier 2,Medium,Supermarket Type2,0.008319487,1,497,3
Low Fat,ITEM0293,Bakery Products,2017,OUT007,Tier 2,Medium,Supermarket Type2,0.061169557,2,2791,1
Low Fat,ITEM0308,Snacks,2012,OUT007,Tier 2,Medium,Supermarket Type2,0.055623647,0.3,403,1
Low Fat,ITEM0318,Bakery Products,2011,OUT006,Tier 2,Medium,Supermarket Type2,0.056844766,2.7,1823,1
Low Fat,ITEM0363,Dairy Products,2016,OUT009,Tier 2,Medium,Supermarket Type2,0.050613768,3.6,765,3
Regular,ITEM0413,Fruits and Vegetables,2005,OUT007,Tier 2,Medium,Supermarket Type2,0.018589344,1.2,1563,5
Low Fat,ITEM0447,Dairy Products,2003,OUT002,Tier 2,Medium,Supermarket Type2,0.059248021,1.1,871,1
Low Fat,ITEM0459,Bakery Products,2020,OUT003,Tier 2,Medium,Supermarket Type2,0.098022688,2.7,2860,2
Regular,ITEM0460,Beverages,2020,OUT008,Tier 2,Medium,Supermarket Type2,0.059319955,2,2046,4
Regular,ITEM0539,Bakery Products,2015,OUT002,Tier 2,Medium,Supermarket Type2,0.07117252,2.9,206,1
Regular,ITEM0542,Beverages,2004,OUT004,Tier 2,Medium,Supermarket Type2,0.062420136,3.2,2193,4
Regular,ITEM0571,Beverages,2015,OUT001,Tier 2,Medium,Supermarket Type2,0.097198594,1.3,836,3
Low Fat,ITEM0575,Snacks,2014,OUT008,Tier 2,Medium,Supermarket Type2,0.077422202,3.1,999,1
Regular,ITEM0578,Snacks,2013,OUT009,Tier 2,Medium,Supermarket Type2,0.099526393,4.3,485,3
Low Fat,ITEM0580,Bakery Products,2001,OUT004,Tier 2,Medium,Supermarket Type2,0.003220498,0.2,2160,4
Low Fat,ITEM0636,Dairy Products,2003,OUT002,Tier 2,Medium,Supermarket Type2,0.027317997,1,305,2
Regular,ITEM0725,Bakery Products,2006,OUT007,Tier 2,Medium,Supermarket Type2,0.016174194,0.6,1825,4
Low Fat,ITEM0734,Bakery Products,2003,OUT007,Tier 2,Medium,Supermarket Type2,0.051982065,0.4,2269,3
Low Fat,ITEM0777,Snacks,2003,OUT001,Tier 2,Medium,Supermarket Type2,0.019887564,0.2,2721,2
Low Fat,ITEM0796,Beverages,2016,OUT007,Tier 2,Medium,Supermarket Type2,0.024341175,0.5,1911,4
Low Fat,ITEM0806,Dairy Products,2018,OUT005,Tier 2,Medium,Supermarket Type2,0.079401233,4.4,1964,3
Low Fat,ITEM0817,Dairy Products,2002,OUT007,Tier 2,Medium,Supermarket Type2,0.086295591,0.2,1268,5
Low Fat,ITEM0825,Beverages,2019,OUT002,Tier 2,Medium,Supermarket Type2,0.020672358,1.7,2753,1
Regular,ITEM0853,Beverages,2009,OUT010,Tier 2,Medium,Supermarket Type2,0.055670753,0.6,2209,2
Regular,ITEM0985,Dairy Products,2000,OUT002,Tier 2,Medium,Supermarket Type2,0.004147293,0.8,1258,4
Regular,ITEM0989,Bakery Products,2011,OUT001,Tier 2,Medium,Supermarket Type2,0.011884226,1.9,1985,5
Low Fat,ITEM0996,Bakery Products,2007,OUT003,Tier 2,Medium,Supermarket Type2,0.085221611,0,650,1
Low Fat,ITEM0997,Dairy Products,2013,OUT007,Tier 2,Medium,Supermarket Type2,0.06135897,1.7,1832,1
Regular,ITEM1032,Bakery Products,2004,OUT003,Tier 2,Medium,Supermarket Type2,0.028845378,4.7,571,0
Low Fat,ITEM1055,Snacks,2007,OUT008,Tier 2,Medium,Supermarket Type2,0.084381805,1.5,1502,4
Regular,ITEM1088,Bakery Products,2005,OUT001,Tier 2,Medium,Supermarket Type2,0.024285283,1.4,1703,2
Low Fat,ITEM1110,Snacks,2004,OUT003,Tier 2,Medium,Supermarket Type2,0.071470372,1,853,2
Low Fat,ITEM1156,Beverages,2006,OUT001,Tier 2,Medium,Supermarket Type2,0.015899538,0.1,2140,2
Low Fat,ITEM1158,Bakery Products,2017,OUT009,Tier 2,Medium,Supermarket Type2,0.002022741,2.6,370,4
Regular,ITEM1159,Fruits and Vegetables,2009,OUT009,Tier 2,Medium,Supermarket Type2,0.003664281,1.1,2570,2
Low Fat,ITEM1167,Snacks,2015,OUT010,Tier 2,Medium,Supermarket Type2,0.080407928,0.5,1948,1
Regular,ITEM1176,Dairy Products,2000,OUT002,Tier 2,Medium,Supermarket Type2,0.025740723,0.3,863,3
Low Fat,ITEM1185,Snacks,2012,OUT009,Tier 2,Medium,Supermarket Type2,0.082930062,4.2,314,4
Low Fat,ITEM1213,Bakery Products,2005,OUT002,Tier 2,Medium,Supermarket Type2,0.06482503,3.3,2868,4
Low Fat,ITEM1224,Bakery Products,2016,OUT008,Tier 2,Medium,Supermarket Type2,0.033563678,2.1,2884,1
Regular,ITEM1228,Fruits and Vegetables,2019,OUT009,Tier 2,Medium,Supermarket Type2,0.043537818,0.6,1772,3
Regular,ITEM1286,Bakery Products,2008,OUT005,Tier 2,Medium,Supermarket Type2,0.013601914,0,1583,3
Low Fat,ITEM1293,Dairy Products,2006,OUT008,Tier 2,Medium,Supermarket Type2,0.044188019,2.9,1262,3
Low Fat,ITEM1307,Fruits and Vegetables,2011,OUT007,Tier 2,Medium,Supermarket Type2,0.060577305,1.7,1942,3
Regular,ITEM1316,Beverages,2002,OUT009,Tier 2,Medium,Supermarket Type2,0.075960313,3.1,2301,0
Regular,ITEM1378,Dairy Products,2011,OUT006,Tier 2,Medium,Supermarket Type2,0.055669208,2.7,1850,3
Low Fat,ITEM1385,Dairy Products,2017,OUT003,Tier 2,Medium,Supermarket Type2,0.086373662,0.8,2001,3
Low Fat,ITEM1443,Fruits and Vegetables,2015,OUT008,Tier 2,Medium,Supermarket Type2,0.005471123,0.8,2303,5
Low Fat,ITEM1449,Snacks,2001,OUT009,Tier 2,Medium,Supermarket Type2,0.07243789,4.7,88,2
Regular,ITEM1483,Snacks,2019,OUT008,Tier 2,Medium,Supermarket Type2,0.061649362,2.5,992,1
Low Fat,ITEM1511,Snacks,2018,OUT008,Tier 2,Medium,Supermarket Type2,0.041477542,2.2,1761,1
Low Fat,ITEM1514,Snacks,2008,OUT003,Tier 2,Medium,Supermarket Type2,0.078918981,4.3,628,1
Regular,ITEM1529,Dairy Products,2000,OUT003,Tier 2,Medium,Supermarket Type2,0.022025241,3.1,2663,1
Regular,ITEM1570,Beverages,2007,OUT006,Tier 2,Medium,Supermarket Type2,0.085796334,1.8,135,1
Low Fat,ITEM1579,Bakery Products,2015,OUT003,Tier 2,Medium,Supermarket Type2,0.023312989,2,2453,4
Regular,ITEM1580,Dairy Products,2010,OUT005,Tier 2,Medium,Supermarket Type2,0.05981079,3.6,1381,1
Low Fat,ITEM1629,Snacks,2016,OUT008,Tier 2,Medium,Supermarket Type2,0.01444607,0.2,882,1
Low Fat,ITEM1671,Snacks,2010,OUT007,Tier 2,Medium,Supermarket Type2,0.044228276,1.4,2021,0
Regular,ITEM1712,Fruits and Vegetables,2019,OUT009,Tier 2,Medium,Supermarket Type2,0.020942797,2.5,304,0
Regular,ITEM1822,Fruits and Vegetables,2013,OUT004,Tier 2,Medium,Supermarket Type2,0.019674323,3.6,2123,1
Regular,ITEM1859,Bakery Products,2004,OUT008,Tier 2,Medium,Supermarket Type2,0.057927939,0.6,2502,3
Low Fat,ITEM1923,Bakery Products,2014,OUT006,Tier 2,Medium,Supermarket Type2,0.084607491,2,379,2
Low Fat,ITEM1962,Dairy Products,2006,OUT002,Tier 2,Medium,Supermarket Type2,0.055513281,2.4,2275,3
Low Fat,ITEM1971,Fruits and Vegetables,2006,OUT001,Tier 2,Medium,Supermarket Type2,0.051110428,0.3,1622,4
Regular,ITEM1977,Beverages,2004,OUT001,Tier 2,Medium,Supermarket Type2,0.001687541,3.8,1161,3
Low Fat,ITEM1990,Fruits and Vegetables,2015,OUT005,Tier 2,Medium,Supermarket Type2,0.041508213,2.4,2021,1
Low Fat,ITEM2004,Fruits and Vegetables,2010,OUT005,Tier 2,Medium,Supermarket Type2,0.058089117,4.4,765,3
Low Fat,ITEM2020,Bakery Products,2016,OUT002,Tier 2,Medium,Supermarket Type2,0.036039082,3.2,2004,0
Low Fat,ITEM2039,Beverages,2020,OUT006,Tier 2,Medium,Supermarket Type2,0.084690821,1.6,1654,0
Low Fat,ITEM2098,Beverages,2018,OUT010,Tier 2,Medium,Supermarket Type2,0.053879839,3.1,1270,1
Low Fat,ITEM2145,Snacks,2018,OUT003,Tier 2,Medium,Supermarket Type2,0.091416514,0.4,2649,0
Low Fat,ITEM2159,Snacks,2014,OUT004,Tier 2,Medium,Supermarket Type2,0.037384415,1.5,90,1
Low Fat,ITEM2182,Bakery Products,2014,OUT004,Tier 2,Medium,Supermarket Type2,0.017987013,0.9,645,2
Low Fat,ITEM2189,Dairy Products,2004,OUT005,Tier 2,Medium,Supermarket Type2,0.055804202,2,224,2
Low Fat,ITEM2214,Beverages,2002,OUT001,Tier 2,Medium,Supermarket Type2,0.081899535,3.7,183,3
Low Fat,ITEM2305,Dairy Products,2003,OUT007,Tier 2,Medium,Supermarket Type2,0.059604757,1.8,2497,1
Regular,ITEM2358,Snacks,2018,OUT005,Tier 2,Medium,Supermarket Type2,0.068783291,0.1,1311,2
Regular,ITEM2370,Snacks,2016,OUT007,Tier 2,Medium,Supermarket Type2,0.039923282,0.1,122,4
Low Fat,ITEM2430,Bakery Products,2010,OUT009,Tier 2,Medium,Supermarket Type2,0.020545016,0.8,1906,2
Regular,ITEM2434,Beverages,2007,OUT002,Tier 2,Medium,Supermarket Type2,0.024856582,3,1177,2
Regular,ITEM2450,Fruits and Vegetables,2019,OUT009,Tier 2,Medium,Supermarket Type2,0.04034917,0.2,544,5
Low Fat,ITEM2452,Bakery Products,2016,OUT006,Tier 2,Medium,Supermarket Type2,0.018907997,3.6,954,3
Regular,ITEM2476,Bakery Products,2015,OUT003,Tier 2,Medium,Supermarket Type2,0.099820115,3.2,558,5
Low Fat,ITEM2492,Fruits and Vegetables,2012,OUT004,Tier 2,Medium,Supermarket Type2,0.005714462,3.4,492,4
Regular,ITEM2504,Bakery Products,2001,OUT006,Tier 2,Medium,Supermarket Type2,0.025078327,0.6,1633,3
Low Fat,ITEM2579,Dairy Products,2006,OUT004,Tier 2,Medium,Supermarket Type2,0.047105795,4.2,1950,2
